user,date,begin,end,hours,project,activity,description,hourly_rate,submitted_at
jane,2026-03-17,2026-03-17T10:58:00,2026-03-17T13:55:00,2.72,Mobile App,Code Review,PR review,90,
jane,2026-03-17,2026-03-17T13:55:00,2026-03-17T16:48:00,2.73,ERP Integration,Development,API endpoint work,90,
jane,2026-03-18,2026-03-18T08:55:00,2026-03-18T17:01:00,8.0,Mobile App,Design,Wireframes,90,
jane,2026-03-19,2026-03-19T08:20:00,2026-03-19T11:58:00,3.4,ERP Integration,Testing,Unit tests,90,
jane,2026-03-19,2026-03-19T11:58:00,2026-03-19T15:45:00,3.39,ERP Integration,Code Review,PR review,90,
jane,2026-03-23,2026-03-23T09:39:00,2026-03-23T12:38:00,2.82,Mobile App,Testing,Integration tests,90,
jane,2026-03-23,2026-03-23T12:38:00,2026-03-23T15:47:00,2.82,ERP Integration,Documentation,Architecture diagram,90,
jane,2026-03-23,2026-03-23T15:47:00,2026-03-23T19:05:00,2.82,ERP Integration,Testing,QA sssion,90,
jane,2026-03-24,2026-03-24T09:25:00,2026-03-24T17:36:00,8.0,Mobile App,Documentation,Runbook,90,
jane,2026-03-25,2026-03-25T08:28:00,2026-03-25T12:41:00,4.18,Mobile App,Testing,Integration tests,90,
jane,2026-03-25,2026-03-25T12:41:00,2026-03-25T17:00:00,4.19,Mobile App,Meeting,Sprint planning,90,
jane,2026-03-26,2026-03-26T09:29:00,2026-03-26T17:30:00,8.0,ERP Integration,Code Review,PR review,90,
jane,2026-03-27,2026-03-27T08:21:00,2026-03-27T16:45:00,8.0,ERP Integration,,Backend logic,90,
jane,2026-03-30,2026-03-30T08:45:00,2026-03-30T16:51:00,8.0,ERP Integration,Meeting,Sprint planning,90,
jane,2026-03-31,2026-03-31T09:41:00,2026-03-31T12:32:00,2.52,ERP Integration,Meeting,Sprint planning,90,
jane,2026-03-31,2026-03-31T12:32:00,2026-03-31T15:16:00,2.52,Mobile App,Documentation,,90,
admin,2026-03-02,2026-03-02T09:22:00,2026-03-02T13:24:00,3.84,Website Redesign,Documentation,README update,100,
admin,2026-03-02,2026-03-02T13:24:00,2026-03-02T17:18:00,3.84,Mobile App,Documentation,Runbook,100,
admin,2026-03-03,2026-03-03T08:14:00,2026-03-03T15:57:00,7.61,Mobile App,Testing,,100,
admin,2026-03-04,2026-03-04T09:10:00,2026-03-04T17:24:00,7.84,ERP Integration,Meeting,Standup,100,
admin,2026-03-05,2026-03-05T08:36:00,2026-03-05T13:55:00,4.99,Mobile App,Design,Color palette revision,100,
admin,2026-03-05,2026-03-05T13:55:00,2026-03-05T19:11:00,4.99,Website Redesign,,,100,
admin,2026-03-06,2026-03-06T09:11:00,2026-03-06T13:17:00,3.94,Mobile App,Code Review,Merge conflict resolution,100,
admin,2026-03-06,2026-03-06T13:17:00,2026-03-06T17:17:00,3.95,Mobile App,Design,Design review,100,
admin,2026-03-09,2026-03-09T09:22:00,2026-03-09T16:50:00,7.32,Legacy Migration,Testing,Integration tests,100,
admin,2026-03-10,2026-03-10T09:33:00,2026-03-10T14:09:00,4.19,Website Redesign,Development,Bug fix,100,
admin,2026-03-10,2026-03-10T14:09:00,2026-03-10T18:43:00,4.19,Mobile App,Design,Icon set update,100,
admin,2026-03-11,2026-03-11T08:29:00,2026-03-11T11:46:00,2.99,Mobile App,Documentation,README update,100,
admin,2026-03-11,2026-03-11T11:46:00,2026-03-11T15:07:00,3.0,ERP Integration,Design,Wireframes,100,
admin,2026-03-11,2026-03-11T15:07:00,2026-03-11T18:28:00,2.99,ERP Integration,Testing,Bug verification,100,
admin,2026-03-12,2026-03-12T08:17:00,2026-03-12T12:18:00,3.87,ERP Integration,Code Review,Code walkthrough,100,
admin,2026-03-12,2026-03-12T12:18:00,2026-03-12T16:20:00,3.87,ERP Integration,Documentation,Runbook,100,
admin,2026-03-13,2026-03-13T09:26:00,2026-03-13T13:16:00,3.69,Mobile App,Design,UI mockup,100,
admin,2026-03-13,2026-03-13T13:16:00,2026-03-13T16:59:00,3.69,Website Redesign,Documentation,README update,100,
admin,2026-03-16,2026-03-16T08:32:00,2026-03-16T12:08:00,3.28,Legacy Migration,Meeting,Client call,100,
admin,2026-03-16,2026-03-16T12:08:00,2026-03-16T15:44:00,3.28,Website Redesign,,Standup,100,
admin,2026-03-16,2026-03-16T15:44:00,2026-03-16T19:27:00,3.27,Website Redesign,Design,Color palette revision,100,
admin,2026-03-17,2026-03-17T09:28:00,2026-03-17T13:38:00,3.96,ERP Integration,Development,API endpoint work,100,
admin,2026-03-17,2026-03-17T13:38:00,2026-03-17T18:04:00,3.97,Mobile App,Meeting,1:1 with manager,100,
admin,2026-03-18,2026-03-18T09:18:00,2026-03-18T13:56:00,4.57,ERP Integration,Testing,Integration tests,100,
admin,2026-03-18,2026-03-18T13:56:00,2026-03-18T18:44:00,4.57,Website Redesign,Testing,,100,
admin,2026-03-19,2026-03-19T08:57:00,2026-03-19T13:10:00,3.83,Mobile App,Development,Refactored module,100,
admin,2026-03-19,2026-03-19T13:10:00,2026-03-19T17:20:00,3.83,Mobile App,Code Review,Merge conflict resolution,100,
admin,2026-03-20,2026-03-20T09:04:00,2026-03-20T16:43:00,7.44,ERP Integration,Development,,100,
admin,2026-03-23,2026-03-23T08:40:00,2026-03-23T18:38:00,9.95,ERP Integration,Documentation,Runbook,100,
admin,2026-03-24,2026-03-24T09:26:00,2026-03-24T12:28:00,2.9,Mobile App,Code Review,Code walkthrough,100,
admin,2026-03-24,2026-03-24T12:28:00,2026-03-24T15:39:00,2.89,Website Redesign,Development,Refactored module,100,
admin,2026-03-24,2026-03-24T15:39:00,2026-03-24T18:43:00,2.9,Website Redesign,,Code walkthrough,100,
admin,2026-03-25,2026-03-25T09:47:00,2026-03-25T13:19:00,3.34,ERP Integration,Code Review,Review feedback,100,
admin,2026-03-25,2026-03-25T13:19:00,2026-03-25T16:45:00,3.34,ERP Integration,Testing,Bug verification,100,
admin,2026-03-26,2026-03-26T09:41:00,2026-03-26T14:30:00,4.39,ERP Integration,Documentation,,90,
admin,2026-03-26,2026-03-26T14:30:00,2026-03-26T18:55:00,4.39,Website Redesign,Development,Bug ifix,100,
admin,2026-03-27,2026-03-27T08:41:00,2026-03-27T17:53:00,9.06,ERP Integration,Testing,QA session,100,
admin,2026-03-30,2026-03-30T09:14:00,2026-03-30T17:11:00,7.6,Mobile App,Meeting,Sprint planning,100,
admin,2026-03-31,2026-03-31T09:03:00,2026-03-31T17:11:00,8.07,ERP Integration,Meeting,Retrospective,100,
bob,2026-03-02,2026-03-02T09:18:00,2026-03-02T11:52:00,2.21,ERP Integration,Testing,QA session,70,
bob,2026-03-02,2026-03-02T11:52:00,2026-03-02T14:33:00,2.21,ERP Integration,Meeting,Sprint planning,70,
bob,2026-03-02,2026-03-02T14:33:00,2026-03-02T17:02:00,2.21,ERP Integration,Development,Implemented feature,80,
bob,2026-03-03,2026-03-03T09:55:00,2026-03-03T13:13:00,3.23,,Testing,Integration tests,70,
bob,2026-03-03,2026-03-03T13:13:00,2026-03-03T16:52:00,3.23,ERP Integration,Meeting,Retrospective,70,
bob,2026-03-04,2026-03-04T09:08:00,2026-03-04T13:57:00,4.79,ERP Integration,Code Review,Review feedback,70,
bob,2026-03-04,2026-03-04T13:57:00,2026-03-04T19:09:00,4.8,ERP Integration,Documentation,README update,70,
bob,2026-03-06,2026-03-06T08:55:00,2026-03-06T12:36:00,3.35,ERP Integration,Meeting,Retrospective,70,
bob,2026-03-06,2026-03-06T12:36:00,2026-03-06T16:07:00,3.34,ERP Integration,Development,Bug fix,70,
bob,2026-03-07,2026-03-07T10:00:00,2026-03-07T14:00:00,4.0,ERP Integration,Development,Urgent hotfix,70,
bob,2026-03-09,2026-03-09T08:49:00,2026-03-09T12:57:00,4.07,ERP Integration,Meeting,Daily development work,70,
bob,2026-03-09,2026-03-09T12:57:00,2026-03-09T17:26:00,4.06,ERP Integration,Testing,Daily development work,70,
bob,2026-03-10,2026-03-10T08:19:00,2026-03-10T12:13:00,3.75,ERP Integration,Code Review,Daily development work,60,
bob,2026-03-10,2026-03-10T12:13:00,2026-03-10T16:13:00,3.75,ERP Integration,Testing,Daily development work,70,
bob,2026-03-11,2026-03-11T08:52:00,2026-03-11T13:15:00,4.07,ERP Integration,Code Review,,70,
bob,2026-03-11,2026-03-11T13:15:00,2026-03-11T17:26:00,4.06,ERP Integration,Code Review,Daily development work,70,
bob,2026-03-12,2026-03-12T08:54:00,2026-03-12T11:17:00,1.95,ERP Integration,Code Review,Daily development work,70,
bob,2026-03-12,2026-03-12T11:17:00,2026-03-12T13:22:00,1.96,ERP Integration,Code Review,Daily development work,70,
bob,2026-03-12,2026-03-12T13:22:00,2026-03-12T15:34:00,1.95,ERP Integration,Documentation,Daily development work,70,
bob,2026-03-13,2026-03-13T08:41:00,2026-03-13T12:26:00,3.43,ERP Integration,,Daily development work,70,
bob,2026-03-13,2026-03-13T12:26:00,2026-03-13T16:01:00,3.43,ERP Integration,Design,Daily development work,70,
bob,2026-03-16,2026-03-16T09:07:00,2026-03-16T16:21:00,6.93,Legacy Migration,Development,Backend logic,70,
bob,2026-03-17,2026-03-17T08:57:00,2026-03-17T17:32:00,8.25,ERP Integration,Documentation,API docs,70,
bob,2026-03-18,2026-03-18T09:11:00,2026-03-18T09:13:00,0.0,ERP Integration,Meeting,Standup,70,
bob,2026-03-18,2026-03-18T09:13:00,2026-03-18T13:12:00,3.91,ERP Integration,Development,Backend logic,70,
bob,2026-03-19,2026-03-19T08:52:00,2026-03-19T16:52:00,7.66,ERP Integration,Development,Implemented feature,70,
bob,2026-03-20,2026-03-20T09:29:00,2026-03-20T13:21:00,3.75,ERP Integration,Testing,Integration tests,70,
bob,2026-03-20,2026-03-20T13:21:00,2026-03-20T17:17:00,3.75,ERP Integration,Development,Bug fix,70,
bob,2026-03-23,2026-03-23T08:37:00,2026-03-23T17:31:00,8.5,ERP Integration,Meeting,Standup,70,
bob,2026-03-24,2026-03-24T08:08:00,2026-03-24T11:39:00,3.25,Legacy Migration,Code Review,,70,
bob,2026-03-24,2026-03-24T11:39:00,2026-03-24T15:10:00,3.25,ERP Integration,Development,Bug fix,70,
bob,2026-03-24,2026-03-24T15:10:00,2026-03-24T18:42:00,3.26,ERP Integration,Documentation,Runbook,70,
bob,2026-03-26,2026-03-26T08:47:00,2026-03-26T12:43:00,3.73,ERP Integration,Development,Bug fix,70,
bob,2026-03-26,2026-03-26T12:43:00,2026-03-26T16:29:00,3.72,ERP Integration,Testing,,70,
bob,2026-03-27,2026-03-27T08:15:00,2026-03-27T17:30:00,9.04,ERP Integration,Development,Bug fix,70,
bob,2026-03-31,2026-03-31T07:58:00,2026-03-31T17:17:00,8.9,ERP Integration,Testing,Bug verification,70,
alice,2026-03-02,2026-03-02T09:00:00,2026-03-02T17:00:00,8.0,Website Redesign,Design,Design work,80,
alice,2026-03-03,2026-03-03T09:00:00,2026-03-03T17:00:00,8.0,Website Redesign,Design,Design work,80,
alice,2026-03-04,2026-03-04T09:00:00,2026-03-04T17:00:00,8.0,Website Redesign,Design,Design work,80,
alice,2026-03-05,2026-03-05T09:00:00,2026-03-05T17:00:00,8.0,Website Redesign,Design,Design work,80,
